,condition_0,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9
715093703,,b,,,,a,b,,a,b
719161530,b,a,b,b,a,b,a,b,a,a
721123822,b,,b,,,,b,a,,
732592105,,a,b,,,,,,,b
739448407,,b,b,,b,a,a,,b,
742951821,a,b,a,a,a,,a,,a,
743475441,,a,a,b,,b,,,,
744228101,b,,,a,b,,b,,b,a
746083955,,,,b,a,,b,b,b,
750332458,b,a,,,,,b,b,,
750749662,b,,b,,,b,,b,b,b
751348571,,a,,a,b,,,a,,a
754829445,,b,a,,a,,b,,a,
755434585,,,b,,,,,a,,
756029989,b,,a,,,b,a,a,,a
757216464,,b,a,b,a,b,b,,b,
757970808,a,b,,b,b,,b,,,
758798717,a,,,a,,a,a,b,a,
759883607,a,a,a,a,b,,,b,a,b
760345702,,,,,b,a,,a,b,b
760693773,b,,,b,,a,,,a,a
761418226,,,,a,b,,,,,
762120172,a,,a,a,b,b,,a,,b
762602078,a,,b,,a,b,a,a,a,b
763673393,a,a,,a,,a,a,,,
773418906,,,,b,a,,,a,,
791319847,,,a,,,a,,b,b,a
797828357,a,b,,,,,a,b,,a
798911424,b,a,,,,b,,,,b
799864342,,b,b,b,a,a,,,b,a
